cluster_type,cluster_id,center_values
features,0,"[6.88378633e-01 5.55111512e-17 4.44089210e-16 1.00000000e+00
 1.31979695e-01 2.28426396e-01 2.13197970e-01 1.92893401e-01
 2.33502538e-01]"
features,1,"[-1.07930194e+00  4.82758621e-01  4.44089210e-16  5.17241379e-01
  1.80076628e-01  2.37547893e-01  2.37547893e-01  1.76245211e-01
  1.68582375e-01]"
features,2,"[ 7.63621281e-01  1.66533454e-16  1.00000000e+00 -6.66133815e-16
  1.82795699e-01  1.82795699e-01  1.50537634e-01  2.15053763e-01
  2.68817204e-01]"
features,3,"[-9.00726840e-01  1.66533454e-16  1.00000000e+00 -6.10622664e-16
  2.10526316e-01  2.36842105e-01  2.23684211e-01  1.64473684e-01
  1.64473684e-01]"
features,4,"[ 6.87629937e-01  1.00000000e+00  4.44089210e-16 -2.77555756e-16
  1.41463415e-01  2.24390244e-01  1.95121951e-01  2.14634146e-01
  2.24390244e-01]"
interactions,0,[ 0.          0.         -0.42874452  1.01158021]
interactions,1,[ 0.          0.         -0.04927631 -0.23646117]
interactions,2,[0.         0.         0.98575126 0.36402142]
interactions,3,[ 0.          0.         -1.23581549 -1.63233119]
interactions,4,[0.         0.         2.39789939 0.28514718]
